parameter,contrast,estimate,std.error,conf.low,conf.high,statistic,p.value
Body weight,female_age5_vs_age0,-0.5481359240316751,0.4195810525219943,-1.3886371007252407,0.2923652526618904,-1.3063886482408356,0.19675473632802604
Body weight,male_age5_vs_age0,-0.8515889108863133,0.44245726121151835,-1.7380693298949879,0.0348915081223613,-1.9246806088220305,0.05938972179594316
Body weight,male_vs_female_age0,-0.037978723314802884,0.32702110773265575,-0.6918567047066665,0.6158992580770607,-0.11613538825711217,0.9079255521954119
Body weight,male_vs_female_age5,0.2654742635398353,0.47039719506007394,-0.6782453953253288,1.2091939224049995,0.5643619186673335,0.5749125477796109
Body weight,diff_in_change_male_vs_female,0.060690597370926344,0.12195354650591288,-0.1836267796069076,0.3050079743487603,0.497653402543597,0.6206823755068827
Body weight,overall_sex_effect,-0.037978723314802884,0.3264999343815316,-0.6779185947026047,0.6019611480729989,-0.11632076859906146,0.9073983263772003
Body height,female_age5_vs_age0,0.8128924193066788,0.2557581628421462,0.2962403915126356,1.329544447100722,3.1783635379348403,0.002830030822956696
Body height,male_age5_vs_age0,0.5055470231914632,0.2695628648350405,-0.04114526525810769,1.052239311641034,1.8754327436786726,0.06885921631832326
Body height,male_vs_female_age0,0.03992769846464732,0.35990610332639783,-0.6800512123305176,0.7599066092598121,0.11093920913154674,0.9120363107719676
Body height,male_vs_female_age5,0.3472730945798629,0.3515795104188423,-0.3586523302011463,1.0531985193608722,0.9877512320503289,0.32796479880863283
Body height,diff_in_change_male_vs_female,0.0614690792230418,0.07431725935701831,-0.08896396534203298,0.21190212378811657,0.8271171428395365,0.4133196763705107
Body height,overall_sex_effect,0.03992769846464732,0.3586426184900253,-0.6630118337758023,0.7428672307050969,0.11133004391043336,0.9113546318914213
Head circumference,female_age5_vs_age0,-0.5286130601102972,1.445065857844297,-3.4810788527318834,2.423852732511289,-0.3658055148426697,0.7171028283039839
Head circumference,male_age5_vs_age0,-2.1451692638470474,1.4139584273972148,-5.025241572708072,0.7349030450139771,-1.5171374364915595,0.1390442468896743
Head circumference,male_vs_female_age0,0.40185536501236213,0.6226834479804557,-0.8724548620823809,1.6761655921071053,0.6453606022702169,0.5238381294333794
Head circumference,male_vs_female_age5,2.018411568749112,1.7216244080531193,-1.4981242894715967,5.534947426969821,1.1723878677066455,0.2502990151110243
Head circumference,diff_in_change_male_vs_female,0.32331124074734313,0.4043510241319887,-0.5014873980159875,1.148109879510674,0.7995806154847466,0.4300599007468181
Head circumference,overall_sex_effect,0.40185536501236213,0.5981217674705531,-0.7704632992299218,1.5741740292546462,0.6718621305353953,0.5016714707560282
