"cluster","feature","coefficient","abs_coef","norm_coef","rank"
"1","variant_proteinp.Ser1780Ile",1.23042630498561,1.23042630498561,1,1
"1","eeg_epileptiform",1.04988750921395,1.04988750921395,0.853271345841579,2
"1","sz_spasms",0.799168975343232,0.799168975343232,0.649505762437822,3
"1","sz_tonic.clonic",0.73255862840961,0.73255862840961,0.595369771794806,4
"1","sz_focal",0.634408518452488,0.634408518452488,0.515600581588596,5
"1","dev_Ability.to.walk",-0.629724130842954,0.629724130842954,0.511793455887078,6
"1","dev_Ability.to.use.sign.language",-0.454573023735481,0.454573023735481,0.36944351879798,7
"1","dev_Ability.to.sit.unsupported",-0.447929537723904,0.447929537723904,0.364044182011487,8
"1","variant_proteinp.Val654Aspfs.33",0.442720051316263,0.442720051316263,0.359810294629096,9
"1","sz_tonic",0.35248905131638,0.35248905131638,0.286477174527329,10
"1","eeg_background",0.184424267617977,0.184424267617977,0.149886479889694,11
"1","dev_Ability.to.use.non.verbal.communication",-0.151386861024236,0.151386861024236,0.123036105787747,12
"1","dev_Ability.to.scoot",0.118899114263462,0.118899114263462,0.0966324547692863,13
"1","dev_Ability.to.crawl",-0.0559352167546991,0.0559352167546991,0.045460030014031,14
"1","dev_Ability.to.communicate",-0.0212264298700576,0.0212264298700576,0.0172512809455141,15
"1","variant_proteinp.Glu430Ala",-0.0148995858838241,0.0148995858838241,0.0121092875074695,16
"2","dev_Ability.to.walk.with.assistance",1.27376239983404,1.27376239983404,1,1
"2","dev_Ability.to.perform.hand.functions",1.00751637917801,1.00751637917801,0.790976699664928,2
"2","dev_Ability.to.stand",0.968805201293286,0.968805201293286,0.76058549178364,3
"2","dev_Ability.to.use.pincer.grasp",0.780857837945056,0.780857837945056,0.613032570318289,4
"2","dev_Ability.to.walk",0.639242156167726,0.639242156167726,0.501853529552302,5
"2","eeg_normal",0.581454986718637,0.581454986718637,0.456486222857884,6
"2","dev_Ability.to.use.non.verbal.communication",0.581263882116112,0.581263882116112,0.456336191264433,7
"2","dev_Ability.to.run",0.510143077478417,0.510143077478417,0.400500970624414,8
"2","sz_absence",0.505172923063173,0.505172923063173,0.396599022807543,9
"2","dev_Ability.to.babble",0.468164021517273,0.468164021517273,0.367544230837925,10
"2","dev_Ability.to.use.sign.language",0.466767701468508,0.466767701468508,0.366448013797018,11
"2","dev_Ability.to.throw",0.395062126216528,0.395062126216528,0.310153703915267,12
"2","variant_proteinp.Glu430Ala",0.38556300654124,0.38556300654124,0.302696175198352,13
"2","sexmale",0.380079735622303,0.380079735622303,0.298391392045976,14
"2","dev_Ability.to.communicate",0.376898545482065,0.376898545482065,0.295893916739237,15
"2","dev_Ability.to.reach",0.373638583318774,0.373638583318774,0.29333459942565,16
"2","dev_Ability.to.crawl",0.320517343716296,0.320517343716296,0.251630401209877,17
"2","dev_Ability.to.weight.bear",0.242493807801617,0.242493807801617,0.190376013480388,18
"2","hosp_status",0.05133827619585,0.05133827619585,0.0403044368420192,19
"2","variant_proteinp.Glu942Argfs.48",0.0418906427995135,0.0418906427995135,0.0328873287553247,20
"2","age_onset_m",0.00420571764531933,0.00420571764531933,0.00330180702921305,21
"2","variant_proteinp.Tyr1771His",0.00404984190038915,0.00404984190038915,0.00317943275835179,22
"3","variant_proteinp.Ile1772Metfs.19",1.79465922409736,1.79465922409736,1,1
"3","variant_proteinp.Arg102.",1.43211224683441,1.43211224683441,0.797985616213407,2
"3","diag_muscoloskeletal",-1.36756721681526,1.36756721681526,0.762020554349582,3
"3","eeg_background",-1.00781679053855,1.00781679053855,0.561564433518257,4
"3","eeg_epileptiform",-0.644090808567955,0.644090808567955,0.358893097875952,5
"3","variant_proteinp.Arg119Ile",0.59868404054974,0.59868404054974,0.333592044947059,6
"3","dev_Ability.to.stand",-0.462794282160562,0.462794282160562,0.257873069130062,7
"3","dev_Ability.to.reach",-0.424893435714479,0.424893435714479,0.236754382118523,8
"3","hosp_sz",-0.36663409112175,0.36663409112175,0.204291759794203,9
"3","dev_Ability.to.roll",-0.2330024412547,0.2330024412547,0.129831022026976,10
"3","variant_proteinp.Arg850.",0.229636076109254,0.229636076109254,0.127955253580106,11
"3","dev_Ability.to.read",0.223281894267194,0.223281894267194,0.124414647231702,12
"3","sz_tonic.clonic",-0.154891472054594,0.154891472054594,0.0863068988111088,13
"3","variant_proteinunknown",0.127598783031353,0.127598783031353,0.0710991709835776,14
"3","dev_Ability.to.control.head.posture",-0.0968536012859008,0.0968536012859008,0.053967683661289,15
"3","dev_Ability.to.babble",-0.0354448469308743,0.0354448469308743,0.0197501823493547,16
